Company,Link
ADANIPORTS,https://www.moneycontrol.com/financials/adaniportsspecialeconomiczone/balance-sheetVI/MPS#MPS
ASIANPAINT,https://www.moneycontrol.com/financials/asianpaints/balance-sheetVI/AP31#AP31
BAJAJ-AUTO,https://www.moneycontrol.com/financials/bajajauto/balance-sheetVI/BA10#BA10
BAJFINANCE,https://www.moneycontrol.com/financials/bajajfinance/balance-sheetVI/BAF#BAF
BHARTIARTL,https://www.moneycontrol.com/financials/bhartiairtel/balance-sheetVI/BA08#BA08
BPCL,https://www.moneycontrol.com/financials/bharatpetroleumcorporation/balance-sheetVI/BPC#BPC
BRITANNIA,https://www.moneycontrol.com/financials/britanniaindustries/balance-sheetVI/BI#BI
CIPLA,https://www.moneycontrol.com/financials/cipla/balance-sheetVI/C#C
COALINDIA,https://www.moneycontrol.com/financials/coalindia/balance-sheetVI/CI11#CI11
DRREDDY,https://www.moneycontrol.com/financials/drreddyslaboratories/balance-sheetVI/DRL#DRL
EICHERMOT,https://www.moneycontrol.com/financials/eichermotors/balance-sheetVI/EM#EM
GAIL,https://www.moneycontrol.com/financials/gailindia/balance-sheetVI/GAI#GAI
GRASIM,https://www.moneycontrol.com/financials/grasimindustries/balance-sheetVI/GI01#GI01
HCLTECH,https://www.moneycontrol.com/financials/hcltechnologies/balance-sheetVI/HCL02#HCL02
HDFC,https://www.moneycontrol.com/financials/housingdevelopmentfinancecorporation/balance-sheetVI/HDF#HDF
HEROMOTOCO,https://www.moneycontrol.com/financials/heromotocorp/balance-sheetVI/HHM#HHM
HINDALCO,https://www.moneycontrol.com/financials/hindalcoindustries/balance-sheetVI/HI#HI
HINDUNILVR,https://www.moneycontrol.com/financials/hindustanunilever/balance-sheetVI/HU#HU
IBULHSGFIN,https://www.moneycontrol.com/financials/indiabullshousingfinance/balance-sheetVI/IHF01#IHF01
INFRATEL,https://www.moneycontrol.com/financials/bhartiinfratel/balance-sheetVI/BI14#BI14
IOC,https://www.moneycontrol.com/financials/indianoilcorporation/balance-sheetVI/IOC#IOC
ITC,https://www.moneycontrol.com/financials/itc/balance-sheetVI/ITC#ITC
JSWSTEEL,https://www.moneycontrol.com/financials/jswsteel/balance-sheetVI/JSW01#JSW01
LT,https://www.moneycontrol.com/financials/larsentoubro/balance-sheetVI/LT#LT
M&M,https://www.moneycontrol.com/financials/mahindramahindra/balance-sheetVI/MM#MM
MARUTI,https://www.moneycontrol.com/financials/marutisuzukiindia/balance-sheetVI/MS24#MS24
NTPC,https://www.moneycontrol.com/financials/ntpc/balance-sheetVI/NTP#NTP
ONGC,https://www.moneycontrol.com/financials/oilnaturalgascorporation/balance-sheetVI/ONG#ONG
POWERGRID,https://www.moneycontrol.com/financials/powergridcorporationindia/balance-sheetVI/PGC#PGC
RELIANCE,https://www.moneycontrol.com/financials/relianceindustries/balance-sheetVI/RI#RI
SUNPHARMA,https://www.moneycontrol.com/financials/sunpharmaceuticalindustries/balance-sheetVI/SPI#SPI
TATAMOTORS,https://www.moneycontrol.com/financials/tatamotors/balance-sheetVI/TM03#TM03
TATASTEEL,https://www.moneycontrol.com/financials/tatasteel/balance-sheetVI/TIS#TIS
TCS,https://www.moneycontrol.com/financials/tataconsultancyservices/balance-sheetVI/TCS#TCS
TECHM,https://www.moneycontrol.com/financials/techmahindra/balance-sheetVI/TM4#TM4
TITAN,https://www.moneycontrol.com/financials/titancompany/balance-sheetVI/TI01#TI01
ULTRACEMCO,https://www.moneycontrol.com/financials/ultratechcement/balance-sheetVI/UTC01#UTC01
UPL,https://www.moneycontrol.com/financials/upl/balance-sheetVI/UP04#UP04
VEDL,https://www.moneycontrol.com/financials/vedanta/balance-sheetVI/SG#SG
WIPRO,https://www.moneycontrol.com/financials/wipro/balance-sheetVI/W#W
ZEEL,https://www.moneycontrol.com/financials/zeeentertainmententerprises/balance-sheetVI/ZEE#ZEE
